urn:cts:TraveLab:BT:en:Adler:token:1.1	These
urn:cts:TraveLab:BT:en:Adler:token:6.17	milk
urn:cts:TraveLab:BT:en:Adler:token:6.18	,
urn:cts:TraveLab:BT:en:Adler:token:6.19	as
urn:cts:TraveLab:BT:en:Adler:token:6.20	well
urn:cts:TraveLab:BT:en:Adler:token:6.21	as
urn:cts:TraveLab:BT:en:Adler:token:6.22	milk
urn:cts:TraveLab:BT:en:Adler:token:6.23	and
urn:cts:TraveLab:BT:en:Adler:token:6.24	cheese
urn:cts:TraveLab:BT:en:Adler:token:6.25	.
urn:cts:TraveLab:BT:en:Adler:token:7.1	They
urn:cts:TraveLab:BT:en:Adler:token:7.2	also
urn:cts:TraveLab:BT:en:Adler:token:7.3	put
urn:cts:TraveLab:BT:en:Adler:token:7.4	pieces
urn:cts:TraveLab:BT:en:Adler:token:7.5	of
urn:cts:TraveLab:BT:en:Adler:token:7.6	flesh
urn:cts:TraveLab:BT:en:Adler:token:7.7	under
urn:cts:TraveLab:BT:en:Adler:token:7.8	the
urn:cts:TraveLab:BT:en:Adler:token:7.9	saddle
urn:cts:TraveLab:BT:en:Adler:token:7.10	of
urn:cts:TraveLab:BT:en:Adler:token:7.11	a
urn:cts:TraveLab:BT:en:Adler:token:7.12	horse
urn:cts:TraveLab:BT:en:Adler:token:7.13	,
urn:cts:TraveLab:BT:en:Adler:token:7.14	which
urn:cts:TraveLab:BT:en:Adler:token:7.15	they
urn:cts:TraveLab:BT:en:Adler:token:7.16	ride
urn:cts:TraveLab:BT:en:Adler:token:7.17	,
urn:cts:TraveLab:BT:en:Adler:token:7.18	and
urn:cts:TraveLab:BT:en:Adler:token:7.19	,
urn:cts:TraveLab:BT:en:Adler:token:7.20	urging
urn:cts:TraveLab:BT:en:Adler:token:7.21	on
urn:cts:TraveLab:BT:en:Adler:token:7.22	the
urn:cts:TraveLab:BT:en:Adler:token:7.23	animal
urn:cts:TraveLab:BT:en:Adler:token:7.24	,
urn:cts:TraveLab:BT:en:Adler:token:7.25	cause
urn:cts:TraveLab:BT:en:Adler:token:7.26	it
urn:cts:TraveLab:BT:en:Adler:token:7.27	to
urn:cts:TraveLab:BT:en:Adler:token:7.28	sweat
urn:cts:TraveLab:BT:en:Adler:token:7.29	.
urn:cts:TraveLab:BT:en:Adler:token:8.1	The
urn:cts:TraveLab:BT:en:Adler:token:8.2	flesh
urn:cts:TraveLab:BT:en:Adler:token:8.3	getting
urn:cts:TraveLab:BT:en:Adler:token:8.4	warm
urn:cts:TraveLab:BT:en:Adler:token:8.5	,
urn:cts:TraveLab:BT:en:Adler:token:8.6	they
urn:cts:TraveLab:BT:en:Adler:token:8.7	eat
urn:cts:TraveLab:BT:en:Adler:token:8.8	it
urn:cts:TraveLab:BT:en:Adler:token:8.9	.
urn:cts:TraveLab:BT:en:Adler:token:9.1	They
urn:cts:TraveLab:BT:en:Adler:token:9.2	only
urn:cts:TraveLab:BT:en:Adler:token:9.3	travel
urn:cts:TraveLab:BT:en:Adler:token:9.4	in
urn:cts:TraveLab:BT:en:Adler:token:9.5	the
urn:cts:TraveLab:BT:en:Adler:token:9.6	land
urn:cts:TraveLab:BT:en:Adler:token:9.7	of
urn:cts:TraveLab:BT:en:Adler:token:9.8	Kedar
urn:cts:TraveLab:BT:en:Adler:token:9.9	under
urn:cts:TraveLab:BT:en:Adler:token:9.10	escort
urn:cts:TraveLab:BT:en:Adler:token:9.11	.
urn:cts:TraveLab:BT:en:Adler:token:10.1	This
urn:cts:TraveLab:BT:en:Adler:token:10.2	is
urn:cts:TraveLab:BT:en:Adler:token:10.3	the
urn:cts:TraveLab:BT:en:Adler:token:10.4	manner
urn:cts:TraveLab:BT:en:Adler:token:10.5	in
urn:cts:TraveLab:BT:en:Adler:token:10.6	which
urn:cts:TraveLab:BT:en:Adler:token:10.7	the
urn:cts:TraveLab:BT:en:Adler:token:10.8	sons
urn:cts:TraveLab:BT:en:Adler:token:10.9	of
urn:cts:TraveLab:BT:en:Adler:token:10.10	Kedar
urn:cts:TraveLab:BT:en:Adler:token:10.11	pledge
urn:cts:TraveLab:BT:en:Adler:token:10.12	their
urn:cts:TraveLab:BT:en:Adler:token:10.13	faith
urn:cts:TraveLab:BT:en:Adler:token:10.14	to
urn:cts:TraveLab:BT:en:Adler:token:10.15	each
urn:cts:TraveLab:BT:en:Adler:token:10.16	other
urn:cts:TraveLab:BT:en:Adler:token:10.17	.
urn:cts:TraveLab:BT:en:Adler:token:11.1	One
urn:cts:TraveLab:BT:en:Adler:token:11.2	thrusts
urn:cts:TraveLab:BT:en:Adler:token:11.3	a
urn:cts:TraveLab:BT:en:Adler:token:11.4	needle
urn:cts:TraveLab:BT:en:Adler:token:11.5	into
urn:cts:TraveLab:BT:en:Adler:token:11.6	his
urn:cts:TraveLab:BT:en:Adler:token:11.7	finger
urn:cts:TraveLab:BT:en:Adler:token:11.8	,
urn:cts:TraveLab:BT:en:Adler:token:11.9	and
urn:cts:TraveLab:BT:en:Adler:token:11.10	invites
urn:cts:TraveLab:BT:en:Adler:token:11.11	the
urn:cts:TraveLab:BT:en:Adler:token:11.12	intended
urn:cts:TraveLab:BT:en:Adler:token:11.13	companion
urn:cts:TraveLab:BT:en:Adler:token:11.14	of
urn:cts:TraveLab:BT:en:Adler:token:11.15	his
urn:cts:TraveLab:BT:en:Adler:token:11.16	journey
urn:cts:TraveLab:BT:en:Adler:token:11.17	to
urn:cts:TraveLab:BT:en:Adler:token:11.18	swallow
urn:cts:TraveLab:BT:en:Adler:token:11.19	the
urn:cts:TraveLab:BT:en:Adler:token:11.20	blood
urn:cts:TraveLab:BT:en:Adler:token:11.21	of
urn:cts:TraveLab:BT:en:Adler:token:11.22	the
urn:cts:TraveLab:BT:en:Adler:token:11.23	wounded
urn:cts:TraveLab:BT:en:Adler:token:11.24	finger
urn:cts:TraveLab:BT:en:Adler:token:11.25	.
urn:cts:TraveLab:BT:en:Adler:token:12.1	He
urn:cts:TraveLab:BT:en:Adler:token:12.2	then
urn:cts:TraveLab:BT:en:Adler:token:12.3	becomes
urn:cts:TraveLab:BT:en:Adler:token:12.4	,
urn:cts:TraveLab:BT:en:Adler:token:12.5	with
urn:cts:TraveLab:BT:en:Adler:token:12.6	the
urn:cts:TraveLab:BT:en:Adler:token:12.7	person
urn:cts:TraveLab:BT:en:Adler:token:12.8	,
urn:cts:TraveLab:BT:en:Adler:token:12.9	as
urn:cts:TraveLab:BT:en:Adler:token:12.10	it
urn:cts:TraveLab:BT:en:Adler:token:12.11	were
urn:cts:TraveLab:BT:en:Adler:token:12.12	the
urn:cts:TraveLab:BT:en:Adler:token:12.13	same
urn:cts:TraveLab:BT:en:Adler:token:12.14	blood
urn:cts:TraveLab:BT:en:Adler:token:12.15	and
urn:cts:TraveLab:BT:en:Adler:token:12.16	flesh
urn:cts:TraveLab:BT:en:Adler:token:12.17	.
urn:cts:TraveLab:BT:en:Adler:token:13.1	There
urn:cts:TraveLab:BT:en:Adler:token:13.2	is
urn:cts:TraveLab:BT:en:Adler:token:13.3	also
urn:cts:TraveLab:BT:en:Adler:token:13.4	another
urn:cts:TraveLab:BT:en:Adler:token:13.5	mode
urn:cts:TraveLab:BT:en:Adler:token:13.6	of
urn:cts:TraveLab:BT:en:Adler:token:13.7	taking
urn:cts:TraveLab:BT:en:Adler:token:13.8	an
urn:cts:TraveLab:BT:en:Adler:token:13.9	oath
urn:cts:TraveLab:BT:en:Adler:token:13.10	.
urn:cts:TraveLab:BT:en:Adler:token:14.1	They
urn:cts:TraveLab:BT:en:Adler:token:14.2	fill
urn:cts:TraveLab:BT:en:Adler:token:14.3	a
urn:cts:TraveLab:BT:en:Adler:token:14.4	vessel
urn:cts:TraveLab:BT:en:Adler:token:14.5	of
urn:cts:TraveLab:BT:en:Adler:token:14.6	cast
urn:cts:TraveLab:BT:en:Adler:token:14.7	copper
urn:cts:TraveLab:BT:en:Adler:token:14.8	of
urn:cts:TraveLab:BT:en:Adler:token:14.9	the
urn:cts:TraveLab:BT:en:Adler:token:14.10	shape
urn:cts:TraveLab:BT:en:Adler:token:14.11	of
urn:cts:TraveLab:BT:en:Adler:token:14.12	a
urn:cts:TraveLab:BT:en:Adler:token:14.13	human
urn:cts:TraveLab:BT:en:Adler:token:14.14	face
urn:cts:TraveLab:BT:en:Adler:token:14.15	,
urn:cts:TraveLab:BT:en:Adler:token:14.16	then
urn:cts:TraveLab:BT:en:Adler:token:14.17	the
urn:cts:TraveLab:BT:en:Adler:token:14.18	traveller
urn:cts:TraveLab:BT:en:Adler:token:14.19	and
urn:cts:TraveLab:BT:en:Adler:token:14.20	his
urn:cts:TraveLab:BT:en:Adler:token:14.21	escorter
urn:cts:TraveLab:BT:en:Adler:token:14.22	drink
urn:cts:TraveLab:BT:en:Adler:token:14.23	thereout
urn:cts:TraveLab:BT:en:Adler:token:14.24	,
urn:cts:TraveLab:BT:en:Adler:token:14.25	after
urn:cts:TraveLab:BT:en:Adler:token:14.26	which
urn:cts:TraveLab:BT:en:Adler:token:14.27	he
urn:cts:TraveLab:BT:en:Adler:token:14.28	never
urn:cts:TraveLab:BT:en:Adler:token:14.29	proves
urn:cts:TraveLab:BT:en:Adler:token:14.30	faithless
urn:cts:TraveLab:BT:en:Adler:token:14.31	to
urn:cts:TraveLab:BT:en:Adler:token:14.32	him
urn:cts:TraveLab:BT:en:Adler:token:14.33	.
urn:cts:TraveLab:BT:en:Adler:token:15.1	They
urn:cts:TraveLab:BT:en:Adler:token:15.2	have
urn:cts:TraveLab:BT:en:Adler:token:15.3	no
urn:cts:TraveLab:BT:en:Adler:token:15.4	king
urn:cts:TraveLab:BT:en:Adler:token:15.5	,
urn:cts:TraveLab:BT:en:Adler:token:15.6	but
urn:cts:TraveLab:BT:en:Adler:token:15.7	only
urn:cts:TraveLab:BT:en:Adler:token:15.8	princes
urn:cts:TraveLab:BT:en:Adler:token:15.9	and
urn:cts:TraveLab:BT:en:Adler:token:15.10	(
urn:cts:TraveLab:BT:en:Adler:token:15.11	noble
urn:cts:TraveLab:BT:en:Adler:token:15.12	)
urn:cts:TraveLab:BT:en:Adler:token:15.13	families
urn:cts:TraveLab:BT:en:Adler:token:15.14	.
urn:cts:TraveLab:BT:en:Adler:token:16.1	Rabbi
urn:cts:TraveLab:BT:en:Adler:token:16.2	Petachia
urn:cts:TraveLab:BT:en:Adler:token:16.3	passed
urn:cts:TraveLab:BT:en:Adler:token:16.4	through
urn:cts:TraveLab:BT:en:Adler:token:16.5	the
urn:cts:TraveLab:BT:en:Adler:token:16.6	land
urn:cts:TraveLab:BT:en:Adler:token:16.7	of
urn:cts:TraveLab:BT:en:Adler:token:16.8	Kedar
urn:cts:TraveLab:BT:en:Adler:token:16.9	in
urn:cts:TraveLab:BT:en:Adler:token:16.10	its
urn:cts:TraveLab:BT:en:Adler:token:16.11	breadth
urn:cts:TraveLab:BT:en:Adler:token:16.12	in
urn:cts:TraveLab:BT:en:Adler:token:16.13	sixteen
urn:cts:TraveLab:BT:en:Adler:token:16.14	days
urn:cts:TraveLab:BT:en:Adler:token:16.15	.
urn:cts:TraveLab:BT:en:Adler:token:17.1	The
urn:cts:TraveLab:BT:en:Adler:token:17.2	inhabitants
urn:cts:TraveLab:BT:en:Adler:token:17.3	live
urn:cts:TraveLab:BT:en:Adler:token:17.4	in
urn:cts:TraveLab:BT:en:Adler:token:17.5	tents
urn:cts:TraveLab:BT:en:Adler:token:17.6	,
urn:cts:TraveLab:BT:en:Adler:token:17.7	they
urn:cts:TraveLab:BT:en:Adler:token:17.8	are
urn:cts:TraveLab:BT:en:Adler:token:17.9	far-sighted
urn:cts:TraveLab:BT:en:Adler:token:17.10	,
urn:cts:TraveLab:BT:en:Adler:token:17.11	and
urn:cts:TraveLab:BT:en:Adler:token:17.12	have
urn:cts:TraveLab:BT:en:Adler:token:17.13	beautiful
urn:cts:TraveLab:BT:en:Adler:token:17.14	eyes
urn:cts:TraveLab:BT:en:Adler:token:17.15	,
urn:cts:TraveLab:BT:en:Adler:token:17.16	because
urn:cts:TraveLab:BT:en:Adler:token:17.17	they
urn:cts:TraveLab:BT:en:Adler:token:17.18	eat
urn:cts:TraveLab:BT:en:Adler:token:17.19	no
urn:cts:TraveLab:BT:en:Adler:token:17.20	salt
urn:cts:TraveLab:BT:en:Adler:token:17.21	and
urn:cts:TraveLab:BT:en:Adler:token:17.22	enjoy
urn:cts:TraveLab:BT:en:Adler:token:17.23	fragrant
urn:cts:TraveLab:BT:en:Adler:token:17.24	plants
urn:cts:TraveLab:BT:en:Adler:token:17.25	.
urn:cts:TraveLab:BT:en:Adler:token:18.1	They
urn:cts:TraveLab:BT:en:Adler:token:18.2	are
urn:cts:TraveLab:BT:en:Adler:token:18.3	good
urn:cts:TraveLab:BT:en:Adler:token:18.4	archers
urn:cts:TraveLab:BT:en:Adler:token:18.5	,
urn:cts:TraveLab:BT:en:Adler:token:18.6	bringing
urn:cts:TraveLab:BT:en:Adler:token:18.7	down
urn:cts:TraveLab:BT:en:Adler:token:18.8	the
urn:cts:TraveLab:BT:en:Adler:token:18.9	bird
urn:cts:TraveLab:BT:en:Adler:token:18.10	whilst
urn:cts:TraveLab:BT:en:Adler:token:18.11	on
urn:cts:TraveLab:BT:en:Adler:token:18.12	the
urn:cts:TraveLab:BT:en:Adler:token:18.13	wing
urn:cts:TraveLab:BT:en:Adler:token:18.14	.
urn:cts:TraveLab:BT:en:Adler:token:19.1	They
urn:cts:TraveLab:BT:en:Adler:token:19.2	perceive
urn:cts:TraveLab:BT:en:Adler:token:19.3	and
urn:cts:TraveLab:BT:en:Adler:token:19.4	recognise
urn:cts:TraveLab:BT:en:Adler:token:19.5	(
urn:cts:TraveLab:BT:en:Adler:token:19.6	objects
urn:cts:TraveLab:BT:en:Adler:token:19.7	)
urn:cts:TraveLab:BT:en:Adler:token:19.8	at
urn:cts:TraveLab:BT:en:Adler:token:19.9	more
urn:cts:TraveLab:BT:en:Adler:token:19.10	than
urn:cts:TraveLab:BT:en:Adler:token:19.11	a
urn:cts:TraveLab:BT:en:Adler:token:19.12	day’s
urn:cts:TraveLab:BT:en:Adler:token:19.13	distance
urn:cts:TraveLab:BT:en:Adler:token:19.14	.
urn:cts:TraveLab:BT:en:Adler:token:20.1	There
urn:cts:TraveLab:BT:en:Adler:token:20.2	are
urn:cts:TraveLab:BT:en:Adler:token:20.3	are
urn:cts:TraveLab:BT:en:Adler:token:20.4	no
urn:cts:TraveLab:BT:en:Adler:token:20.5	mountains
urn:cts:TraveLab:BT:en:Adler:token:20.6	in
urn:cts:TraveLab:BT:en:Adler:token:20.7	their
urn:cts:TraveLab:BT:en:Adler:token:20.8	country
urn:cts:TraveLab:BT:en:Adler:token:20.9	,
urn:cts:TraveLab:BT:en:Adler:token:20.10	but
urn:cts:TraveLab:BT:en:Adler:token:20.11	all
urn:cts:TraveLab:BT:en:Adler:token:20.12	is
urn:cts:TraveLab:BT:en:Adler:token:20.13	level
urn:cts:TraveLab:BT:en:Adler:token:20.14	.
urn:cts:TraveLab:BT:en:Adler:token:21.1	And
urn:cts:TraveLab:BT:en:Adler:token:21.2	a
urn:cts:TraveLab:BT:en:Adler:token:21.3	day’s
urn:cts:TraveLab:BT:en:Adler:token:21.4	journey
urn:cts:TraveLab:BT:en:Adler:token:21.5	behind
urn:cts:TraveLab:BT:en:Adler:token:21.6	the
urn:cts:TraveLab:BT:en:Adler:token:21.7	land
urn:cts:TraveLab:BT:en:Adler:token:21.8	of
urn:cts:TraveLab:BT:en:Adler:token:21.9	Kedar
urn:cts:TraveLab:BT:en:Adler:token:21.10	extends
urn:cts:TraveLab:BT:en:Adler:token:21.11	a
urn:cts:TraveLab:BT:en:Adler:token:21.12	gulf
urn:cts:TraveLab:BT:en:Adler:token:21.13	2
urn:cts:TraveLab:BT:en:Adler:token:21.14	intervening
urn:cts:TraveLab:BT:en:Adler:token:21.15	between
urn:cts:TraveLab:BT:en:Adler:token:21.16	the
urn:cts:TraveLab:BT:en:Adler:token:21.17	land
urn:cts:TraveLab:BT:en:Adler:token:21.18	of
urn:cts:TraveLab:BT:en:Adler:token:21.19	Kedar
urn:cts:TraveLab:BT:en:Adler:token:21.20	and
urn:cts:TraveLab:BT:en:Adler:token:21.21	the
urn:cts:TraveLab:BT:en:Adler:token:21.22	land
urn:cts:TraveLab:BT:en:Adler:token:21.23	of
urn:cts:TraveLab:BT:en:Adler:token:21.24	Chazaria
urn:cts:TraveLab:BT:en:Adler:token:21.25	.
urn:cts:TraveLab:BT:en:Adler:token:21.26	3
urn:cts:TraveLab:BT:en:Adler:token:22.1	There
urn:cts:TraveLab:BT:en:Adler:token:22.2	it
urn:cts:TraveLab:BT:en:Adler:token:22.3	is
urn:cts:TraveLab:BT:en:Adler:token:22.4	customary
urn:cts:TraveLab:BT:en:Adler:token:22.5	for
urn:cts:TraveLab:BT:en:Adler:token:22.6	women
urn:cts:TraveLab:BT:en:Adler:token:22.7	the
urn:cts:TraveLab:BT:en:Adler:token:22.8	whole
urn:cts:TraveLab:BT:en:Adler:token:22.9	day
urn:cts:TraveLab:BT:en:Adler:token:22.10	and
urn:cts:TraveLab:BT:en:Adler:token:22.11	night
urn:cts:TraveLab:BT:en:Adler:token:22.12	to
urn:cts:TraveLab:BT:en:Adler:token:22.13	bemoan
urn:cts:TraveLab:BT:en:Adler:token:22.14	and
urn:cts:TraveLab:BT:en:Adler:token:22.15	lament
urn:cts:TraveLab:BT:en:Adler:token:22.16	their
urn:cts:TraveLab:BT:en:Adler:token:22.17	deceased
urn:cts:TraveLab:BT:en:Adler:token:22.18	fathers
urn:cts:TraveLab:BT:en:Adler:token:22.19	and
urn:cts:TraveLab:BT:en:Adler:token:22.20	mothers
urn:cts:TraveLab:BT:en:Adler:token:22.21	.
urn:cts:TraveLab:BT:en:Adler:token:23.1	This
urn:cts:TraveLab:BT:en:Adler:token:23.2	they
urn:cts:TraveLab:BT:en:Adler:token:23.3	continue
urn:cts:TraveLab:BT:en:Adler:token:23.4	until
urn:cts:TraveLab:BT:en:Adler:token:23.5	any
urn:cts:TraveLab:BT:en:Adler:token:23.6	of
urn:cts:TraveLab:BT:en:Adler:token:23.7	their
urn:cts:TraveLab:BT:en:Adler:token:23.8	sons
urn:cts:TraveLab:BT:en:Adler:token:23.9	or
urn:cts:TraveLab:BT:en:Adler:token:23.10	daughters
urn:cts:TraveLab:BT:en:Adler:token:23.11	or
urn:cts:TraveLab:BT:en:Adler:token:23.12	other
urn:cts:TraveLab:BT:en:Adler:token:23.13	members
urn:cts:TraveLab:BT:en:Adler:token:23.14	of
urn:cts:TraveLab:BT:en:Adler:token:23.15	the
urn:cts:TraveLab:BT:en:Adler:token:23.16	family
